"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Create new user","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Create entity","Users","",""
"","6","Create new user","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Create entity","Users","",""
"","0","Delete file","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Delete entity","Files","",""
"","0","Create file with empty directory","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Validate entity","Files","",""
"","0","Update exercise","LMS service","Tue Oct 21 19:28:05 UTC 2025","broken","Tue Oct 21 19:28:05 UTC 2025","Update entity","Exercises","",""
"","0","Create course","LMS service","Tue Oct 21 19:28:05 UTC 2025","broken","Tue Oct 21 19:28:05 UTC 2025","Create entity","Courses","",""
"","0","Get user","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Get entity","Users","",""
"","0","Get courses by user id","LMS service","Tue Oct 21 19:28:05 UTC 2025","broken","Tue Oct 21 19:28:05 UTC 2025","Get entity","Courses","",""
"","0","Delete exercise","LMS service","Tue Oct 21 19:28:05 UTC 2025","broken","Tue Oct 21 19:28:05 UTC 2025","Delete entity","Exercises","",""
"","0","Create file","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Create entity","Files","",""
"","0","Get file with incorrect file id","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Validate entity","Files","",""
"","0","Create with empty file name","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Validate entity","Files","",""
"","0","Update course","LMS service","Tue Oct 21 19:28:05 UTC 2025","broken","Tue Oct 21 19:28:05 UTC 2025","Update entity","Courses","",""
"","2","Create new user","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Create entity","Users","",""
"","0","Get file","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Get entity","Files","",""
"","0","Create exercise","LMS service","Tue Oct 21 19:28:05 UTC 2025","broken","Tue Oct 21 19:28:05 UTC 2025","Create entity","Exercises","",""
"","0","Login","LMS service","Tue Oct 21 19:28:05 UTC 2025","broken","Tue Oct 21 19:28:05 UTC 2025","Login","Authentication","",""
"","0","Get exercise","LMS service","Tue Oct 21 19:28:05 UTC 2025","broken","Tue Oct 21 19:28:05 UTC 2025","Get entity","Exercises","",""
"","0","Get exercises by course id","LMS service","Tue Oct 21 19:28:06 UTC 2025","broken","Tue Oct 21 19:28:06 UTC 2025","Get entity","Exercises","",""
