"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","526","Create new user","LMS service","Tue Oct 21 21:05:27 UTC 2025","passed","Tue Oct 21 21:05:27 UTC 2025","Create entity","Users","",""
"","291","Create new user","LMS service","Tue Oct 21 21:05:26 UTC 2025","passed","Tue Oct 21 21:05:27 UTC 2025","Create entity","Users","",""
"","34","Create course","LMS service","Tue Oct 21 21:05:19 UTC 2025","passed","Tue Oct 21 21:05:19 UTC 2025","Create entity","Courses","",""
"","17","Get exercise","LMS service","Tue Oct 21 21:05:21 UTC 2025","passed","Tue Oct 21 21:05:21 UTC 2025","Get entity","Exercises","",""
"","51","Create file with empty directory","LMS service","Tue Oct 21 21:05:25 UTC 2025","passed","Tue Oct 21 21:05:25 UTC 2025","Validate entity","Files","",""
"","556","Login","LMS service","Tue Oct 21 21:05:18 UTC 2025","passed","Tue Oct 21 21:05:18 UTC 2025","Login","Authentication","",""
"","29","Update exercise","LMS service","Tue Oct 21 21:05:21 UTC 2025","passed","Tue Oct 21 21:05:21 UTC 2025","Update entity","Exercises","",""
"","305","Update course","LMS service","Tue Oct 21 21:05:20 UTC 2025","passed","Tue Oct 21 21:05:20 UTC 2025","Update entity","Courses","",""
"","23","Delete file","LMS service","Tue Oct 21 21:05:26 UTC 2025","passed","Tue Oct 21 21:05:26 UTC 2025","Delete entity","Files","",""
"","52","Create with empty file name","LMS service","Tue Oct 21 21:05:25 UTC 2025","passed","Tue Oct 21 21:05:25 UTC 2025","Validate entity","Files","",""
"","17","Get file","LMS service","Tue Oct 21 21:05:24 UTC 2025","passed","Tue Oct 21 21:05:24 UTC 2025","Get entity","Files","",""
"","20","Delete exercise","LMS service","Tue Oct 21 21:05:23 UTC 2025","passed","Tue Oct 21 21:05:23 UTC 2025","Delete entity","Exercises","",""
"","36","Get courses by user id","LMS service","Tue Oct 21 21:05:19 UTC 2025","passed","Tue Oct 21 21:05:19 UTC 2025","Get entity","Courses","",""
"","510","Create new user","LMS service","Tue Oct 21 21:05:26 UTC 2025","passed","Tue Oct 21 21:05:27 UTC 2025","Create entity","Users","",""
"","22","Create exercise","LMS service","Tue Oct 21 21:05:20 UTC 2025","passed","Tue Oct 21 21:05:20 UTC 2025","Create entity","Exercises","",""
"","18","Get exercises by course id","LMS service","Tue Oct 21 21:05:23 UTC 2025","passed","Tue Oct 21 21:05:23 UTC 2025","Get entity","Exercises","",""
"","17","Get user","LMS service","Tue Oct 21 21:05:28 UTC 2025","passed","Tue Oct 21 21:05:28 UTC 2025","Get entity","Users","",""
"","284","Create file","LMS service","Tue Oct 21 21:05:24 UTC 2025","passed","Tue Oct 21 21:05:24 UTC 2025","Create entity","Files","",""
"","18","Get file with incorrect file id","LMS service","Tue Oct 21 21:05:26 UTC 2025","passed","Tue Oct 21 21:05:26 UTC 2025","Validate entity","Files","",""
