"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create exercise","LMS service","Tue Oct 21 19:48:24 UTC 2025","passed","Tue Oct 21 19:48:24 UTC 2025","Create entity","Exercises","",""
"","20","Get file with incorrect file id","LMS service","Tue Oct 21 19:48:31 UTC 2025","passed","Tue Oct 21 19:48:31 UTC 2025","Validate entity","Files","",""
"","19","Get exercise","LMS service","Tue Oct 21 19:48:26 UTC 2025","passed","Tue Oct 21 19:48:26 UTC 2025","Get entity","Exercises","",""
"","50","Create with empty file name","LMS service","Tue Oct 21 19:48:29 UTC 2025","passed","Tue Oct 21 19:48:29 UTC 2025","Validate entity","Files","",""
"","22","Delete file","LMS service","Tue Oct 21 19:48:31 UTC 2025","passed","Tue Oct 21 19:48:31 UTC 2025","Delete entity","Files","",""
"","33","Create course","LMS service","Tue Oct 21 19:48:23 UTC 2025","passed","Tue Oct 21 19:48:23 UTC 2025","Create entity","Courses","",""
"","275","Create file","LMS service","Tue Oct 21 19:48:28 UTC 2025","passed","Tue Oct 21 19:48:28 UTC 2025","Create entity","Files","",""
"","288","Create new user","LMS service","Tue Oct 21 19:48:31 UTC 2025","passed","Tue Oct 21 19:48:31 UTC 2025","Create entity","Users","",""
"","554","Login","LMS service","Tue Oct 21 19:48:22 UTC 2025","passed","Tue Oct 21 19:48:23 UTC 2025","Login","Authentication","",""
"","45","Create file with empty directory","LMS service","Tue Oct 21 19:48:29 UTC 2025","passed","Tue Oct 21 19:48:29 UTC 2025","Validate entity","Files","",""
"","18","Get exercises by course id","LMS service","Tue Oct 21 19:48:27 UTC 2025","passed","Tue Oct 21 19:48:27 UTC 2025","Get entity","Exercises","",""
"","303","Update course","LMS service","Tue Oct 21 19:48:24 UTC 2025","passed","Tue Oct 21 19:48:24 UTC 2025","Update entity","Courses","",""
"","303","Get courses by user id","LMS service","Tue Oct 21 19:48:23 UTC 2025","passed","Tue Oct 21 19:48:23 UTC 2025","Get entity","Courses","",""
"","16","Get file","LMS service","Tue Oct 21 19:48:28 UTC 2025","passed","Tue Oct 21 19:48:28 UTC 2025","Get entity","Files","",""
"","523","Create new user","LMS service","Tue Oct 21 19:48:31 UTC 2025","passed","Tue Oct 21 19:48:31 UTC 2025","Create entity","Users","",""
"","24","Update exercise","LMS service","Tue Oct 21 19:48:26 UTC 2025","passed","Tue Oct 21 19:48:26 UTC 2025","Update entity","Exercises","",""
"","16","Get user","LMS service","Tue Oct 21 19:48:32 UTC 2025","passed","Tue Oct 21 19:48:32 UTC 2025","Get entity","Users","",""
"","524","Create new user","LMS service","Tue Oct 21 19:48:31 UTC 2025","passed","Tue Oct 21 19:48:31 UTC 2025","Create entity","Users","",""
"","19","Delete exercise","LMS service","Tue Oct 21 19:48:27 UTC 2025","passed","Tue Oct 21 19:48:27 UTC 2025","Delete entity","Exercises","",""
