"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","Get courses by user id","LMS service","Wed Oct 22 20:27:49 UTC 2025","passed","Wed Oct 22 20:27:50 UTC 2025","Get entity","Courses","",""
"","37","Create course","LMS service","Wed Oct 22 20:27:50 UTC 2025","passed","Wed Oct 22 20:27:50 UTC 2025","Create entity","Courses","",""
"","519","Create new user","LMS service","Wed Oct 22 20:27:57 UTC 2025","passed","Wed Oct 22 20:27:58 UTC 2025","Create entity","Users","",""
"","20","Delete exercise","LMS service","Wed Oct 22 20:27:53 UTC 2025","passed","Wed Oct 22 20:27:53 UTC 2025","Delete entity","Exercises","",""
"","529","Create new user","LMS service","Wed Oct 22 20:27:58 UTC 2025","passed","Wed Oct 22 20:27:58 UTC 2025","Create entity","Users","",""
"","26","Update exercise","LMS service","Wed Oct 22 20:27:52 UTC 2025","passed","Wed Oct 22 20:27:52 UTC 2025","Update entity","Exercises","",""
"","290","Create new user","LMS service","Wed Oct 22 20:27:57 UTC 2025","passed","Wed Oct 22 20:27:58 UTC 2025","Create entity","Users","",""
"","16","Get user","LMS service","Wed Oct 22 20:27:59 UTC 2025","passed","Wed Oct 22 20:27:59 UTC 2025","Get entity","Users","",""
"","52","Create file with empty directory","LMS service","Wed Oct 22 20:27:56 UTC 2025","passed","Wed Oct 22 20:27:56 UTC 2025","Validate entity","Files","",""
"","22","Create exercise","LMS service","Wed Oct 22 20:27:51 UTC 2025","passed","Wed Oct 22 20:27:51 UTC 2025","Create entity","Exercises","",""
"","24","Get exercise","LMS service","Wed Oct 22 20:27:52 UTC 2025","passed","Wed Oct 22 20:27:52 UTC 2025","Get entity","Exercises","",""
"","34","Update course","LMS service","Wed Oct 22 20:27:51 UTC 2025","passed","Wed Oct 22 20:27:51 UTC 2025","Update entity","Courses","",""
"","19","Get file with incorrect file id","LMS service","Wed Oct 22 20:27:57 UTC 2025","passed","Wed Oct 22 20:27:57 UTC 2025","Validate entity","Files","",""
"","22","Delete file","LMS service","Wed Oct 22 20:27:57 UTC 2025","passed","Wed Oct 22 20:27:57 UTC 2025","Delete entity","Files","",""
"","272","Create file","LMS service","Wed Oct 22 20:27:54 UTC 2025","passed","Wed Oct 22 20:27:55 UTC 2025","Create entity","Files","",""
"","555","Login","LMS service","Wed Oct 22 20:27:48 UTC 2025","passed","Wed Oct 22 20:27:49 UTC 2025","Login","Authentication","",""
"","57","Create with empty file name","LMS service","Wed Oct 22 20:27:56 UTC 2025","passed","Wed Oct 22 20:27:56 UTC 2025","Validate entity","Files","",""
"","23","Get exercises by course id","LMS service","Wed Oct 22 20:27:53 UTC 2025","passed","Wed Oct 22 20:27:54 UTC 2025","Get entity","Exercises","",""
"","20","Get file","LMS service","Wed Oct 22 20:27:55 UTC 2025","passed","Wed Oct 22 20:27:55 UTC 2025","Get entity","Files","",""
